image_url,stories_id,media_id,story_title,story_url,media_name,media_url,publish_date,inlink_count,fb_count,partisan,image_url,parent,d_hash
https://bloximages.newyork1.vip.townnews.com/southbendtribune.com/content/tncms/assets/v3/editorial/2/0d/20d5775a-7ae5-5f0c-b64d-4b3dc4baabd2/5ae0b322c3415.image.jpg?resize=945%2C630,1290254643,27205,South Bend mayor Pete Buttigieg vetoes anti-abortion group's rezoning,https://www.southbendtribune.com/news/local/south-bend-mayor-pete-buttigieg-vetoes-anti-abortion-group-s/article_0b08950f-cd02-5b15-93cf-ff3a29fa2515.html,southbendtribune.com,http://www.southbendtribune.com,2018-04-28 10:05:00,7,51,[],https://bloximages.newyork1.vip.townnews.com/southbendtribune.com/content/tncms/assets/v3/editorial/2/0d/20d5775a-7ae5-5f0c-b64d-4b3dc4baabd2/5ae0b322c3415.image.jpg?resize=945%2C630,0,21
https://www.doj.state.or.us/wp-content/themes/OregonDOJ/img/icons/favicon.ico,1282257408,131844,21 State Attorneys General to Sue Over Title X “Gag Rule” - Oregon Department of Justice,https://www.doj.state.or.us/media-home/news-media-releases/21-state-attorneys-general-to-sue-over-title-x-gag-rule/,doj.state.or.us,http://doj.state.or.us/,2019-03-04 21:25:27,7,2,[],https://www.doj.state.or.us/wp-content/themes/OregonDOJ/img/icons/favicon.ico,0,22
https://www.gannett-cdn.com/-mm-/7e482a443740f52337eba28dff4794963c9ca5ad/c=0-307-2996-2000/local/-/media/2017/06/23/TennGroup/Nashville/636338309080672100-scotus-pic.jpg?width=3200&height=1680&fit=crop,1263285227,61,Tennessee bill to outlaw abortion if Roe v. Wade is overturned heads to governor,http://rssfeeds.tennessean.com/~/601088242/0/nashville/home~Tennessee-bill-to-outlaw-abortion-if-Roe-v-Wade-is-overturned-heads-to-governor/,The Tennessean,http://www.tennessean.com/apps/pbcs.dll/frontpage,2019-04-22 20:38:36,7,0,[3690],https://www.gannett-cdn.com/-mm-/7e482a443740f52337eba28dff4794963c9ca5ad/c=0-307-2996-2000/local/-/media/2017/06/23/TennGroup/Nashville/636338309080672100-scotus-pic.jpg?width=3200&height=1680&fit=crop,0,23
https://www.kansas.com/news/politics-government/k74sg2/picture207854509/alternates/LANDSCAPE_1140/WICStanding%20abortion,1267007478,30,"Right to abortion protected by Kansas Constitution, state Supreme Court rules",https://www.kansascity.com/news/politics-government/article229693509.html#storylink=rss,The Kansas City Star,http://www.kansascity.com/,2019-04-26 10:51:51,7,0,[3687],https://www.kansas.com/news/politics-government/k74sg2/picture207854509/alternates/LANDSCAPE_1140/WICStanding%20abortion,0,24
https://cdn.cnn.com/cnnnext/dam/assets/190204164023-abortion-illo-5-super-tease.jpg,1184446185,1095,"Before judging 'late-term abortion,' understand what it means, doctors say",http://rss.cnn.com/~r/rss/cnn_latest/~3/IHQbDM0h1kU/index.html,CNN,http://www.cnn.com/,2019-02-06 04:08:08,6,450884,[3687],https://cdn.cnn.com/cnnnext/dam/assets/190204164023-abortion-illo-5-super-tease.jpg,0,25
https://cdn.cnn.com/cnnnext/dam/assets/181126170744-un-security-council-ukraine-russia-super-tease.jpg,1263311549,1095,"US threatens to veto UN resolution on helping rape victims, over mentions of reproductive health",http://rss.cnn.com/~r/rss/cnn_latest/~3/a8BnmIk-NyE/index.html,CNN,http://www.cnn.com/,2019-04-22 21:21:07,6,8402,[3687],https://cdn.cnn.com/cnnnext/dam/assets/181126170744-un-security-council-ukraine-russia-super-tease.jpg,0,26
https://www.guttmacher.org/sites/default/files/styles/open_graph_large/public/images/statelawsandpoliciesgreen.jpg?itok=MluTQZEi,608507010,19444,Bans on Specific Abortion Methods Used After the First Trimester,https://www.guttmacher.org/state-policy/explore/bans-specific-abortion-methods-used-after-first-trimester,guttmacher.org,http://www.guttmacher.org,2017-02-03 17:20:07,6,199,[],https://www.guttmacher.org/sites/default/files/styles/open_graph_large/public/images/statelawsandpoliciesgreen.jpg?itok=MluTQZEi,0,27
http://www.cdc.gov/TemplatePackage/images/home/favicon.ico,298723744,19740,CDC - CDCs Abortion Surveillance System FAQs - Reproductive Health,http://www.cdc.gov/reproductivehealth/Data_Stats/Abortion.htm,cdc.gov,http://www.cdc.gov,2006-07-14 12:00:00,6,151,[],http://www.cdc.gov/TemplatePackage/images/home/favicon.ico,0,28
https://cdn.vox-cdn.com/thumbor/vsaxM8Fe2SM2FG-x0AKSs1lgSjs=/0x0:4430x2319/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15988644/1098387388.jpg.jpg,1234044298,104828,An abortion clinic is suing to open in Pete Buttigieg’s city. It could test his skills on a national stage.,https://www.vox.com/2019/3/27/18282417/indiana-abortion-pete-buttigieg-clinic-south-bend,Vox,http://www.vox.com,2019-03-27 11:50:00,6,151,[3689],https://cdn.vox-cdn.com/thumbor/vsaxM8Fe2SM2FG-x0AKSs1lgSjs=/0x0:4430x2319/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15988644/1098387388.jpg.jpg,0,29
https://media4.s-nbcnews.com/j/newscms/2019_14/2813126/mtp_digital_banner_1920x1080_2_11623ffa991f230ca67b2a67f19aad8d.nbcnews-fp-1200-630.png,1266494419,25499,"Meet the Press - April 7, 2019",https://www.nbcnews.com/meet-the-press/meet-press-april-7-2019-n991806,NBC News,http://www.nbcnews.com,2019-04-26 00:52:53.801282,6,43,[3687],https://media4.s-nbcnews.com/j/newscms/2019_14/2813126/mtp_digital_banner_1920x1080_2_11623ffa991f230ca67b2a67f19aad8d.nbcnews-fp-1200-630.png,0,30
,,,,,,,,,,,,,0
